"","ID","Date","Mass","Length","Loc"
"691",387,1995-12-22,205,109.6,"EB"
"692",387,1995-12-24,181.1,109.5,"EB"
"702",387,2000-06-05,202.4,110.9,"Perth Zoo"
"708",387,2002-08-12,233.1,112.4,"Perth Zoo"
"711",387,2003-07-27,247.9,114.5,"Perth Zoo"
"714",387,2004-07-27,254.1,116.2,"Perth Zoo"
"724",387,2006-07-23,272.8,119,"Perth Zoo"
"726",387,2006-07-28,272.8,119,"EB"
"728",508,1998-11-04,24,48.2,"EB"
"729",508,1999-11-21,38,60.4,"EB"
"731",508,2001-08-12,50.5,67,"EB"
"732",508,2003-11-10,94,82.2,"EB"
"733",508,2004-11-03,94,82.9,"EB"
"734",544,1999-04-19,6.3,28.2,"Perth Zoo"
"749",544,1999-07-21,19.4,43.3,"EB"
"750",544,1999-11-26,38.5,57.9,"EB"
"751",544,2000-11-04,61,68,"EB"
"752",544,2001-11-26,82,76.8,"EB"
"753",544,2003-11-19,118,87.4,"EB"
"754",544,2004-11-14,137,90.8,"EB"
"755",544,2005-05-28,129,91,"EB"
"756",544,2005-12-02,180,100.1,"EB"
"757",544,2006-07-02,175,100.4,"EB"
"758",550,1999-04-27,6.7,29,"Perth Zoo"
"772",550,1999-07-21,16.7,40.7,"EB"
"773",550,2000-07-20,40,58.8,"EB"
"774",550,2008-11-18,203,109,"EB"
"775",550,2009-07-03,195,109.1,"EB"
"776",550,2010-10-08,218,111.4,"EB"
"777",553,1999-11-16,104,85.9,"EB"
"778",553,2000-10-23,111,89.2,"EB"
"779",553,2000-10-24,111,89.2,"EB"
"784",553,2001-06-18,120.9,90,"Perth Zoo"
"793",553,2002-06-23,166.1,104,"Perth Zoo"
"803",553,2003-07-13,243.6,116.4,"Perth Zoo"
"809",553,2004-07-04,289,123.1,"Perth Zoo"
"815",553,2006-07-23,332.7,130.4,"Perth Zoo"
"817",553,2006-07-28,332.7,130.4,"EB"
"819",553,2006-09-29,344.4,130.4,"EB"
"821",555,1999-11-24,22,49.7,"EB"
"822",555,2001-10-29,59,68.6,"EB"
"825",555,2003-08-29,80,77.7,"EB"
"826",555,2003-11-10,96,85.1,"EB"
"827",555,2004-06-29,90,85.3,"EB"
"828",555,2005-06-13,104,87.6,"EB"
"829",580,2000-04-26,5.7,27.1,"Perth Zoo"
"838",580,2000-06-29,16.1,41,"Perth Zoo"
"841",580,2000-07-19,19,43.1,"Perth Zoo"
"843",580,2000-07-20,19,43.1,"EB"
"844",580,2000-11-04,37.5,59,"EB"
"845",580,2001-06-25,34.5,59,"EB"
"846",580,2001-11-26,55,68.5,"EB"
"847",580,2003-11-26,104,84.4,"EB"
"848",580,2004-11-08,118,87.4,"EB"
"849",580,2005-05-28,102,87.5,"EB"
"851",588,2000-06-30,28.5,54.1,"EB"
"852",588,2000-10-23,50.5,65.7,"EB"
"853",588,2001-11-11,67,73,"EB"
"854",588,2003-11-10,99,83.9,"EB"
"855",588,2005-11-25,149,96.3,"EB"
"856",588,2006-07-02,138,96.7,"EB"
"857",588,2010-10-08,188,107.1,"EB"
"858",589,2000-10-23,25.5,49.5,"EB"
"859",589,2007-11-22,188,104.9,"EB"
"860",591,2000-10-23,28,50.6,"EB"
"861",591,2001-12-04,45.5,72,"EB"
"862",591,2007-11-22,196,108.3,"EB"
"863",591,2008-11-14,207,109.2,"EB"
"864",591,2009-07-03,194,109.9,"EB"
"865",591,2010-10-19,224,112.4,"EB"
"866",591,2011-07-08,213,112.3,"EB"
"867",592,2000-10-23,112,86.1,"EB"
"868",592,2000-10-24,112,86.1,"EB"
"873",592,2001-06-18,108.2,86.7,"Perth Zoo"
"882",592,2002-06-24,108.6,86.6,"Perth Zoo"
"892",592,2003-07-16,140.7,95.2,"Perth Zoo"
"900",592,2004-07-07,202.2,107.7,"Perth Zoo"
"911",592,2006-07-23,265.5,119.1,"Perth Zoo"
"913",592,2006-07-28,265.5,119.1,"EB"
"915",592,2006-09-29,278.2,120,"EB"
"917",593,2000-10-23,46.5,62.9,"EB"
"918",593,2000-10-24,46.5,62.9,"EB"
"924",593,2001-06-09,52.3,64.2,"Perth Zoo"
"934",593,2002-06-10,68.8,73,"Perth Zoo"
"943",593,2003-06-21,73.8,74.2,"Perth Zoo"
"950",593,2004-07-04,86.6,79,"Perth Zoo"
"966",593,2006-07-23,109.3,86.6,"Perth Zoo"
"968",593,2006-07-28,108.5,86.6,"EB"
"970",594,2000-10-26,47.5,63.7,"EB"
"971",594,2000-10-27,47.5,63.7,"EB"
"977",594,2001-06-09,54,65.8,"Perth Zoo"
"987",594,2002-06-10,61.3,70.9,"Perth Zoo"
"996",594,2003-06-21,80.7,77.6,"Perth Zoo"
"1005",594,2004-07-04,94.7,82.8,"Perth Zoo"
"1021",594,2006-07-23,118.7,90.6,"Perth Zoo"
"1023",594,2006-07-28,118.6,90.6,"EB"
"1025",598,2001-03-24,6.3,29.1,"Perth Zoo"
"1041",598,2001-08-13,33.2,52.1,"Perth Zoo"
"1044",598,2001-08-24,32.7,53,"EB"
"1045",598,2001-11-26,50,63.5,"EB"
"1046",598,2004-11-21,95.5,80.3,"EB"
"1047",598,2005-05-28,88,80.7,"EB"
"1048",602,2001-04-05,6.3,29.1,"Perth Zoo"
"1062",602,2001-08-13,39.9,56.9,"Perth Zoo"
"1065",602,2001-08-24,40,56.2,"EB"
"1066",602,2005-12-25,132.5,94,"EB"
"1067",603,2001-04-05,6.2,28.8,"Perth Zoo"
"1081",603,2001-08-13,27.3,50.5,"Perth Zoo"
"1084",603,2001-08-24,27.3,50.4,"EB"
"1085",603,2001-11-26,41.7,61,"EB"
"1086",603,2005-11-23,119.5,88.7,"EB"
"1087",603,2006-07-02,109.5,88.2,"EB"
"1088",606,2001-04-05,6.3,28.7,"Perth Zoo"
"1106",606,2001-08-24,30,52.7,"EB"
"1107",606,2001-11-26,49,65.1,"EB"
"1108",606,2003-11-25,109.5,87.6,"EB"
"1109",609,2001-04-06,6.1,28.4,"Perth Zoo"
"1127",609,2001-08-24,31.7,53.1,"EB"
"1128",609,2004-11-21,110.5,85.3,"EB"
"1129",609,2005-05-28,98,86,"EB"
"1130",609,2005-12-07,148,93.8,"EB"
"1131",609,2006-07-02,136,94,"EB"
"1132",617,2001-04-08,5.4,26,"Perth Zoo"
"1145",617,2001-08-13,23.4,46.6,"Perth Zoo"
"1147",617,2001-08-24,23.3,47.2,"EB"
"1149",617,2001-11-26,38,59.5,"EB"
"1150",617,2004-11-08,92.5,79.8,"EB"
"1151",639,2001-11-06,124,86.2,"EB"
"1152",639,2001-11-06,124,86.2,"EB"
"1156",639,2002-06-24,113,86.6,"Perth Zoo"
"1166",639,2003-07-16,110,86.5,"Perth Zoo"
"1174",639,2004-07-07,119.6,86.8,"Perth Zoo"
"1190",639,2006-07-23,117.7,86.7,"Perth Zoo"
"1192",639,2006-07-28,117.6,86.7,"EB"
"1194",639,2006-09-29,129.2,87.2,"EB"
"1195",640,2001-11-14,134.5,92.8,"EB"
"1196",640,2001-11-15,121.2,92.6,"EB"
"1201",640,2002-06-24,119.2,93.2,"Perth Zoo"
"1211",640,2003-07-16,124.1,93.2,"Perth Zoo"
"1219",640,2004-07-07,127.6,93.3,"Perth Zoo"
"1235",640,2006-07-23,217.5,110.2,"Perth Zoo"
"1237",640,2006-07-28,217.5,110.2,"EB"
"1239",640,2006-09-29,237,112.4,"EB"
"1241",640,2007-08-03,221,112.7,"EB"
"1242",640,2008-11-18,276,119.8,"EB"
"1243",640,2010-10-08,294,122,"EB"
"1245",651,2002-04-07,6.6,28.5,"Perth Zoo"
"1254",651,2006-07-02,156,98.5,"EB"
"1255",651,2008-10-19,228,107.8,"EB"
"1256",651,2010-08-04,265,121.9,"EB"
"1257",652,2002-04-07,6.4,28.8,"Perth Zoo"
"1266",652,2003-11-25,76,75.1,"EB"
"1267",652,2004-11-21,98.5,81,"EB"
"1268",652,2005-06-13,83,81.6,"EB"
"1269",654,2002-04-07,6.7,29.9,"Perth Zoo"
"1277",654,2005-12-07,125.5,91.6,"EB"
"1278",654,2006-07-02,114,92,"EB"
"1279",654,2008-11-14,186.5,106.9,"EB"
"1280",654,2009-07-03,174.5,107,"EB"
"1281",654,2009-11-21,223,113.9,"EB"
"1282",654,2010-10-19,223,113.4,"EB"
"1283",659,2002-04-10,6.3,29,"Perth Zoo"
"1290",659,2008-11-14,215,107.4,"EB"
"1291",659,2009-07-03,196,107.9,"EB"
"1293",673,2002-04-19,6.2,28.2,"Perth Zoo"
"1300",673,2003-11-25,52,66.4,"EB"
"1301",687,2003-02-09,6.4,29.3,"Perth Zoo"
"1322",687,2003-09-01,38.7,55.4,"EB"
"1324",688,2003-02-11,4.8,26.1,"Perth Zoo"
"1344",688,2003-09-01,39,56.7,"EB"
"1345",688,2003-10-25,48,64.2,"EB"
"1346",689,2010-10-08,199.5,106.7,"EB"
"1347",694,2003-04-03,5,26.2,"Perth Zoo"
"1361",694,2003-09-01,33.5,52.7,"EB"
"1362",695,2003-04-04,5.9,27.3,"Perth Zoo"
"1376",695,2003-09-01,34.2,52.2,"EB"
"1377",695,2003-10-25,42.5,60,"EB"
"1378",695,2004-11-08,60.5,68,"EB"
"1379",696,2003-04-10,6.1,28,"Perth Zoo"
"1392",696,2003-09-01,40.9,56.1,"EB"
"1393",696,2003-10-25,48,63.2,"EB"
"1394",729,2003-11-05,23.2,47.2,"EB"
"1395",732,2004-02-27,5.4,27.1,"Perth Zoo"
"1413",732,2004-08-17,26.5,48.8,"Perth Zoo"
"1414",732,2004-08-18,26.5,48.8,"EB"
"1415",732,2004-11-08,34,57.9,"EB"
"1416",732,2004-11-14,38.5,57.9,"EB"
"1417",732,2005-11-23,76.5,74.2,"EB"
"1418",732,2007-10-18,105,82.5,"EB"
"1419",735,2004-03-24,6,28.3,"Perth Zoo"
"1434",735,2004-08-17,33.7,53.3,"Perth Zoo"
"1435",735,2004-08-18,33.7,53.3,"EB"
"1436",735,2004-11-08,45,61.5,"EB"
"1437",735,2005-12-02,93.5,80,"EB"
"1438",745,2004-04-02,6.1,28.1,"Perth Zoo"
"1452",745,2004-08-17,21.8,45.7,"Perth Zoo"
"1453",745,2004-08-18,21.8,45.7,"EB"
"1454",745,2004-11-08,30.6,53.7,"EB"
"1455",777,2004-07-04,6.3,28.1,"EB"
"1456",777,2006-10-29,69,73.4,"EB"
"1457",777,2010-10-08,150,95.3,"EB"
"1458",778,2004-10-28,17,41.4,"EB"
"1459",779,2004-10-28,22.7,47.2,"EB"
"1460",780,2004-10-28,24.6,48.4,"EB"
"1461",781,2004-10-28,34.6,55.4,"EB"
"1463",782,2004-11-03,72.5,75.9,"EB"
"1464",783,2004-11-03,23.5,49,"EB"
"1465",784,2004-11-03,19.7,46.2,"EB"
"1466",785,2004-11-03,17.5,42.3,"EB"
"1467",786,2004-11-03,23,47.2,"EB"
"1468",787,2004-11-03,14.3,40.5,"EB"
"1469",788,2004-11-08,44,59.1,"EB"
"1470",788,2008-11-18,167,97.4,"EB"
"1471",788,2009-07-03,142.5,97.7,"EB"
"1472",788,2010-10-08,190.5,102.9,"EB"
"1473",789,2004-11-14,47.2,61.5,"EB"
"1474",789,2005-12-02,79,74,"EB"
"1475",790,2005-03-05,5.4,28,"Perth Zoo"
"1492",790,2005-07-09,28.4,51.3,"EB"
"1494",791,2005-03-08,7,30.1,"Perth Zoo"
"1511",791,2005-07-09,31.5,54.1,"EB"
"1513",791,2005-11-23,68,73,"EB"
"1514",792,2005-03-14,5.2,28.1,"Perth Zoo"
"1530",792,2005-07-09,19.1,44.5,"EB"
"1532",793,2005-03-21,5.5,27.6,"Perth Zoo"
"1547",793,2005-07-09,19.9,45.1,"EB"
"1549",795,2005-03-28,7.3,29.1,"Perth Zoo"
"1563",795,2005-07-09,20.5,44.9,"EB"
"1565",795,2005-11-23,54,65.9,"EB"
"1566",797,2005-04-01,6.2,29.4,"Perth Zoo"
"1580",797,2005-07-09,18,43.6,"EB"
"1582",798,2005-04-02,6,28.1,"Perth Zoo"
"1595",798,2005-07-09,18.2,44.4,"EB"
"1597",798,2006-12-09,54.5,67.2,"EB"
"1598",800,2004-11-03,15.4,42,"EB"
"1599",801,2005-04-03,6.8,29,"Perth Zoo"
"1613",801,2005-07-09,22.4,47.3,"EB"
"1630",802,2005-07-09,21.9,47.4,"EB"
"1632",805,2005-04-06,6,29,"Perth Zoo"
"1645",805,2005-07-09,19.4,46,"EB"
"1647",805,2005-11-23,52,66.4,"EB"
"1648",806,2005-04-06,6.6,28.9,"Perth Zoo"
"1661",806,2005-07-09,23.1,48,"EB"
"1663",806,2005-11-23,56,67.6,"EB"
"1664",808,2005-04-10,5,27.2,"Perth Zoo"
"1677",808,2005-07-09,19.9,44.1,"EB"
"1680",811,2005-04-11,5.8,28,"Perth Zoo"
"1692",811,2005-07-09,19.5,45.8,"EB"
"1694",811,2006-10-29,62,70.2,"EB"
"1695",865,2005-11-21,56,65.6,"EB"
"1696",865,2006-09-14,59.6,67.5,"EB"
"1697",865,2006-11-10,70,72.1,"EB"
"1698",866,2005-11-25,84.5,77.6,"EB"
"1700",874,2006-04-06,5.8,27.5,"Perth Zoo"
"1723",874,2006-09-14,31.4,52.1,"EB"
"1724",874,2006-10-28,36.6,58.4,"EB"
"1725",876,2006-04-06,6.1,28.8,"Perth Zoo"
"1748",876,2006-09-14,29.5,52.3,"EB"
"1749",876,2008-11-18,96.5,83.5,"EB"
"1750",876,2009-07-03,82.5,83.8,"EB"
"1751",876,2010-10-08,129.5,93.1,"EB"
"1752",881,2006-04-09,5.8,28.2,"Perth Zoo"
"1775",881,2006-09-14,31.6,52.4,"EB"
"1776",881,2006-10-28,38.2,57.6,"EB"
"1777",882,2006-04-09,5.3,27.9,"Perth Zoo"
"1800",882,2006-09-14,28.7,50.8,"EB"
"1801",882,2006-10-28,35.5,62.3,"EB"
"1802",882,2006-10-31,34.7,56.9,"EB"
"1803",886,2006-04-19,5.4,26.4,"Perth Zoo"
"1825",886,2006-09-14,27.1,50.7,"EB"
"1826",890,2006-04-20,3.9,24,"Perth Zoo"
"1846",890,2006-09-14,23.3,46.7,"EB"
"1847",890,2006-10-28,28,51.8,"EB"
"1848",896,2006-04-24,5.8,28.1,"Perth Zoo"
"1869",896,2006-09-14,32.9,53.1,"EB"
"1870",896,2006-10-28,37.5,58.3,"EB"
"1871",898,2006-04-24,6.1,29.1,"Perth Zoo"
"1892",898,2006-09-14,27.7,50,"EB"
"1893",898,2006-10-28,34,56,"EB"
"1895",904,2006-09-29,230,116,"EB"
"1897",905,2006-10-01,370,137,"EB"
"1898",905,2007-11-17,383,136.8,"EB"
"1899",905,2008-11-18,383,137.1,"EB"
"1900",905,2009-11-04,406,137,"EB"
"1901",906,2006-10-17,110,90.3,"EB"
"1902",907,2006-10-28,20.5,44.5,"EB"
"1903",907,2006-12-17,20.3,45.7,"EB"
"1904",908,2006-10-31,61.8,69.8,"EB"
"1906",908,2006-12-21,63.5,69.8,"EB"
"1907",909,2006-10-31,164.2,98.6,"EB"
"1908",909,2007-09-06,162,99.1,"EB"
"1909",909,2009-11-04,221,110.4,"EB"
"1910",910,2006-11-25,69.5,72.8,"EB"
"1911",911,2006-12-17,21.3,46.6,"EB"
"1912",911,2007-11-22,66,70.8,"EB"
"1913",912,2006-12-17,28,51.5,"EB"
"1914",914,2007-01-30,6,27.8,"Perth Zoo"
"1934",914,2007-06-13,33.2,53.5,"EB"
"1945",918,2007-03-30,5.8,28.4,"Perth Zoo"
"1957",918,2007-06-13,28.8,51.3,"EB"
"1968",919,2007-04-02,5.3,27,"Perth Zoo"
"1980",919,2007-06-13,27.5,50.7,"EB"
"1991",920,2007-04-03,6.2,28.3,"Perth Zoo"
"2002",920,2007-06-13,31,52.1,"EB"
"2013",941,2007-11-19,96,83.5,"EB"
"2014",941,2008-03-08,6,28.7,"Perth Zoo"
"2029",941,2008-06-12,94,83.9,"EB"
"2066",941,2010-06-17,108.9,85.4,"Perth Zoo"
"2073",941,2011-05-28,106.1,85.5,"Perth Zoo"
"2077",1017,2010-09-23,75.5,71.9,"EB"
"2078",1018,2010-10-08,18.2,43.7,"EB"
"2079",1019,2010-10-08,18.6,42.5,"EB"
"2080",1020,2010-10-08,105.5,85.1,"EB"
"2081",1021,2010-10-08,189,104.9,"EB"
"2082",1022,2010-10-19,44.2,62,"EB"
